Ranking Week,Rank,Name,Country,Points,Tournaments,Member ID
2/14/2023,24,WANG Tzu Wei,TPE,46946,14,87375
2/14/2023,25,Toma Junior POPOV,FRA,43913,16,61628
2/14/2023,26,Shesar Hiren RHUSTAVITO,INA,43583,16,81887
2/14/2023,27,WENG Hong Yang,CHN,43113,14,77042
2/14/2023,28,NG Tze Yong,MAS,42114,18,81362
2/14/2023,29,Brian YANG,CAN,42030,19,63122
2/14/2023,30,Kantaphon WANGCHAROEN,THA,40642,18,92508
2/14/2023,31,LIEW Daren,MAS,39239,15,52864
2/14/2023,32,LIN Chun-Yi,TPE,38900,14,86114
2/14/2023,33,Sitthikom THAMMASIN,THA,37986,17,58963
2/14/2023,34,Nhat NGUYEN,IRL,37199,18,85095
2/14/2023,35,Hans-Kristian Solberg VITTINGHUS,DEN,36392,15,53753
2/14/2023,36,Misha ZILBERMAN,ISR,33704,14,52953
2/14/2023,37,HEO Kwang Hee,KOR,32825,14,68718
2/14/2023,38,Mark CALJOUW,NED,31590,16,76973
2/14/2023,39,Arnaud MERKLE,FRA,30323,13,59543
2/14/2023,40,Brice LEVERDEZ,FRA,29820,12,52968
2/14/2023,41,Koki WATANABE,JPN,29570,12,97174
2/14/2023,42,Christo POPOV,FRA,28950,12,72885
2/14/2023,43,Mithun MANJUNATH,IND,28111,11,62720
2/14/2023,44,CHEAM June Wei,MAS,28100,17,92796
2/14/2023,45,SAI PRANEETH B.,IND,27840,14,42776
2/14/2023,46,Victor SVENDSEN,DEN,27590,16,59420
2/14/2023,47,Kevin CORDON,GUA,27587,9,54897
2/14/2023,48,Ygor COELHO,BRA,26639,15,96429
2/14/2023,49,Kiran GEORGE,IND,26467,14,68317
2/14/2023,50,Sameer VERMA,IND,26410,9,77003
2/14/2023,51,Chia Hao LEE,TPE,25860,18,59322
2/14/2023,52,Mads CHRISTOPHERSEN,DEN,25150,14,83938
2/14/2023,53,Luís Enrique PEÑALVER,ESP,24933,12,71221
2/14/2023,54,Christian ADINATA,INA,24161,11,69006
2/14/2023,55,SOONG Joo Ven,MAS,23810,12,87117
2/14/2023,56,JEON Hyeok Jin,KOR,23749,10,65580
2/14/2023,57,Jan LOUDA,CZE,23540,13,61423
2/14/2023,58,PARUPALLI Kashyap,IND,23430,8,53944
2/14/2023,59,Priyanshu RAJAWAT,IND,23206,11,69093
2/14/2023,60,Magnus JOHANNESEN,DEN,22900,17,97030
2/14/2023,61,Jason Anthony HO-SHUE,CAN,22267,9,93791
2/14/2023,62,Riku HATANO,JPN,22054,14,62018
2/14/2023,63,Kai SCHAEFER,GER,21552,15,20808
2/14/2023,64,Meiraba Luwang MAISNAM,IND,21500,14,91651
2/14/2023,65,Jia Heng Jason TEH,SGP,21259,17,82606
2/14/2023,66,LEONG Jun Hao,MAS,20967,13,84838
2/14/2023,67,Uriel Francisco CANJURA ARTIGA,ESA,20950,10,74579
2/14/2023,68,CHI Yu Jen,TPE,20910,17,77848
2/14/2023,69,Alex LANIER,FRA,20765,11,94580
2/14/2023,70,Tommy SUGIARTO,INA,20660,10,14587
2/14/2023,71,Kalle KOLJONEN,FIN,20591,12,92655
2/14/2023,72,Minoru KOGA,JPN,20560,10,80062
2/14/2023,73,Felix BURESTEDT,SWE,20465,14,83985
2/14/2023,74,Yushi TANAKA,JPN,20230,10,86672
2/14/2023,75,LU Chia Hung,TPE,20209,17,91254
2/14/2023,76,Jonathan MATIAS,BRA,20205,11,86470
2/14/2023,77,Ikhsan Leonardo Imanuel RUMBAY,INA,20111,11,90657
2/14/2023,78,SU Li Yang,TPE,19320,17,94397
2/14/2023,79,Max WEISSKIRCHEN,GER,18480,10,84815
2/14/2023,80,SON Wan Ho,KOR,18340,5,54346
2/14/2023,81,Lucas CLAERBOUT,FRA,18290,12,89506
2/14/2023,82,Ade Resky DWICAHYO,AZE,18000,15,78890
2/14/2023,83,Joran KWEEKEL,NED,17973,12,62286
2/14/2023,84,Sholeh AIDIL,MAS,17387,13,79110
2/14/2023,85,Julien CARRAGGI,BEL,17158,17,70399
2/14/2023,86,Thomas ROUXEL,FRA,17110,7,38500
2/14/2023,87,CHAN Yin Chak,HKG,17013,12,57924
2/14/2023,88,Syabda Perkasa BELAWA,INA,16680,10,89156
2/14/2023,89,Bernardo ATILANO,POR,16538,11,83597
2/14/2023,90,Pablo ABIAN,ESP,16250,12,14251
2/14/2023,91,YEOH Seng Zoe,MAS,16230,13,95952
2/14/2023,92,CHEN Chi Ting,TPE,16150,13,76994
2/14/2023,93,DANYLO BOSNIUK,UKR,16118,14,58328
2/14/2023,94,Sathish Kumar KARUNAKARAN,IND,15490,13,79164
2/14/2023,95,Kartikey GULSHAN KUMAR,IND,15110,11,64794
2/14/2023,96,Harshit AGGARWAL,IND,14980,12,58670
2/14/2023,97,S.Sankar Muthusamy SUBRAMANIAN,IND,14970,17,91814
2/14/2023,98,Tobias KUENZI,SUI,14877,13,60427
2/14/2023,99,Lino MUNOZ,MEX,14778,9,96461
2/7/2023,1,Viktor AXELSEN,DEN,114156,14,25831
2/7/2023,2,Jonatan CHRISTIE,INA,80612,19,73442
2/7/2023,3,Anthony Sinisuka GINTING,INA,77579,18,95661
2/7/2023,4,LEE Zii Jia,MAS,75868,16,81561
2/7/2023,5,CHOU Tien Chen,TPE,73716,17,34810
2/7/2023,6,Kunlavut VITIDSARN,THA,72229,13,64032
2/7/2023,7,Kodai NARAOKA,JPN,70520,17,62063
2/7/2023,8,LOH Kean Yew,SGP,68874,18,76115
2/7/2023,9,PRANNOY H. S.,IND,64280,18,83950
2/7/2023,10,LU Guang Zu,CHN,58230,19,77427
2/7/2023,11,Lakshya SEN,IND,54714,15,68870
2/7/2023,12,ZHAO Jun Peng,CHN,54221,16,95930
2/7/2023,13,SHI Yu Qi,CHN,53870,10,57945
2/7/2023,14,NG Ka Long Angus,HKG,53547,16,45171
2/7/2023,15,Kenta NISHIMOTO,JPN,52869,17,85394
2/7/2023,16,Kanta TSUNEYAMA,JPN,52698,12,57823
2/7/2023,17,Anders ANTONSEN,DEN,52003,11,91554
2/7/2023,18,Chico Aura DWI WARDOYO,INA,50898,16,71408
2/7/2023,19,KIDAMBI Srikanth,IND,50651,17,93627
2/7/2023,20,LI Shi Feng,CHN,49693,17,95476
2/7/2023,21,LEE Cheuk Yiu,HKG,49581,18,94780
2/7/2023,22,Rasmus GEMKE,DEN,48871,10,62855
2/7/2023,23,Kento MOMOTA,JPN,48444,12,89785
2/7/2023,24,WANG Tzu Wei,TPE,46946,14,87375
2/7/2023,25,Toma Junior POPOV,FRA,43913,16,61628
2/7/2023,26,Shesar Hiren RHUSTAVITO,INA,43583,16,81887
2/7/2023,27,WENG Hong Yang,CHN,43113,14,77042
2/7/2023,28,NG Tze Yong,MAS,42114,18,81362
2/7/2023,29,Brian YANG,CAN,42030,19,63122
2/7/2023,30,Kantaphon WANGCHAROEN,THA,40642,18,92508
2/7/2023,31,LIEW Daren,MAS,39239,15,52864
2/7/2023,32,LIN Chun-Yi,TPE,38900,14,86114
2/7/2023,33,Sitthikom THAMMASIN,THA,37986,17,58963
2/7/2023,34,Nhat NGUYEN,IRL,37199,18,85095
2/7/2023,35,Hans-Kristian Solberg VITTINGHUS,DEN,36392,15,53753
2/7/2023,36,Misha ZILBERMAN,ISR,33704,14,52953
2/7/2023,37,HEO Kwang Hee,KOR,32825,14,68718
2/7/2023,38,Mark CALJOUW,NED,31590,16,76973
2/7/2023,39,Arnaud MERKLE,FRA,30323,13,59543
2/7/2023,40,Brice LEVERDEZ,FRA,29820,12,52968
2/7/2023,41,Koki WATANABE,JPN,29570,12,97174
2/7/2023,42,Christo POPOV,FRA,28950,12,72885
2/7/2023,43,Mithun MANJUNATH,IND,28111,11,62720
2/7/2023,44,CHEAM June Wei,MAS,28100,17,92796
2/7/2023,45,SAI PRANEETH B.,IND,27840,14,42776
2/7/2023,46,Victor SVENDSEN,DEN,27590,16,59420
2/7/2023,47,Kevin CORDON,GUA,27587,9,54897
2/7/2023,48,Ygor COELHO,BRA,26639,15,96429
2/7/2023,49,Kiran GEORGE,IND,26467,14,68317
2/7/2023,50,Sameer VERMA,IND,26410,9,77003
2/7/2023,51,Chia Hao LEE,TPE,25860,18,59322
2/7/2023,52,Mads CHRISTOPHERSEN,DEN,25150,14,83938
2/7/2023,53,Luís Enrique PEÑALVER,ESP,24933,12,71221
2/7/2023,54,Christian ADINATA,INA,24161,11,69006
2/7/2023,55,SOONG Joo Ven,MAS,23810,12,87117
2/7/2023,56,JEON Hyeok Jin,KOR,23749,10,65580
2/7/2023,57,Jan LOUDA,CZE,23540,13,61423
2/7/2023,58,PARUPALLI Kashyap,IND,23430,8,53944
2/7/2023,59,Priyanshu RAJAWAT,IND,23206,11,69093
2/7/2023,60,Magnus JOHANNESEN,DEN,22900,17,97030
2/7/2023,61,Jason Anthony HO-SHUE,CAN,22267,9,93791
2/7/2023,62,Riku HATANO,JPN,22054,14,62018
2/7/2023,63,Kai SCHAEFER,GER,21552,15,20808
2/7/2023,64,Meiraba Luwang MAISNAM,IND,21500,14,91651
2/7/2023,65,Jia Heng Jason TEH,SGP,21259,17,82606
2/7/2023,66,LEONG Jun Hao,MAS,20967,13,84838
2/7/2023,67,Uriel Francisco CANJURA ARTIGA,ESA,20950,10,74579
2/7/2023,68,CHI Yu Jen,TPE,20910,17,77848
2/7/2023,69,Alex LANIER,FRA,20765,11,94580
2/7/2023,70,Tommy SUGIARTO,INA,20660,10,14587
2/7/2023,71,Kalle KOLJONEN,FIN,20591,12,92655
2/7/2023,72,Minoru KOGA,JPN,20560,10,80062
2/7/2023,73,Felix BURESTEDT,SWE,20465,14,83985
2/7/2023,74,Yushi TANAKA,JPN,20230,10,86672
2/7/2023,75,LU Chia Hung,TPE,20209,17,91254
2/7/2023,76,Jonathan MATIAS,BRA,20205,11,86470
2/7/2023,77,Ikhsan Leonardo Imanuel RUMBAY,INA,20111,11,90657
2/7/2023,78,SU Li Yang,TPE,19320,17,94397
2/7/2023,79,Max WEISSKIRCHEN,GER,18480,10,84815
2/7/2023,80,SON Wan Ho,KOR,18340,5,54346
2/7/2023,81,Lucas CLAERBOUT,FRA,18290,12,89506
2/7/2023,82,Ade Resky DWICAHYO,AZE,18000,15,78890
2/7/2023,83,Joran KWEEKEL,NED,17973,12,62286
2/7/2023,84,Sholeh AIDIL,MAS,17387,13,79110
2/7/2023,85,Julien CARRAGGI,BEL,17158,17,70399
2/7/2023,86,Thomas ROUXEL,FRA,17110,7,38500
2/7/2023,87,CHAN Yin Chak,HKG,17013,12,57924
2/7/2023,88,Syabda Perkasa BELAWA,INA,16680,10,89156
2/7/2023,89,Bernardo ATILANO,POR,16538,11,83597
2/7/2023,90,Pablo ABIAN,ESP,16250,12,14251
2/7/2023,91,YEOH Seng Zoe,MAS,16230,13,95952
2/7/2023,92,CHEN Chi Ting,TPE,16150,13,76994
2/7/2023,93,DANYLO BOSNIUK,UKR,16118,14,58328
2/7/2023,94,Sathish Kumar KARUNAKARAN,IND,15490,13,79164
2/7/2023,95,Kartikey GULSHAN KUMAR,IND,15110,11,64794
2/7/2023,96,Harshit AGGARWAL,IND,14980,12,58670
2/7/2023,97,S.Sankar Muthusamy SUBRAMANIAN,IND,14970,17,91814
2/7/2023,98,Tobias KUENZI,SUI,14877,13,60427
2/7/2023,99,Lino MUNOZ,MEX,14778,9,96461
1/31/2023,1,Viktor AXELSEN,DEN,114156,14,25831
1/31/2023,2,Jonatan CHRISTIE,INA,80612,19,73442
1/31/2023,3,Anthony Sinisuka GINTING,INA,77579,18,95661
1/31/2023,4,LEE Zii Jia,MAS,75868,16,81561
1/31/2023,5,CHOU Tien Chen,TPE,73716,17,34810
1/31/2023,6,Kunlavut VITIDSARN,THA,72229,13,64032
1/31/2023,7,Kodai NARAOKA,JPN,70520,17,62063
1/31/2023,8,LOH Kean Yew,SGP,68874,18,76115
1/31/2023,9,PRANNOY H. S.,IND,64280,18,83950
1/31/2023,10,LU Guang Zu,CHN,58230,19,77427
1/31/2023,11,Lakshya SEN,IND,54714,15,68870
1/31/2023,12,ZHAO Jun Peng,CHN,54221,16,95930
1/31/2023,13,Kanta TSUNEYAMA,JPN,52698,12,57823
1/31/2023,14,Kenta NISHIMOTO,JPN,52019,16,85394
1/31/2023,15,Chico Aura DWI WARDOYO,INA,50898,16,71408
1/31/2023,16,KIDAMBI Srikanth,IND,50651,17,93627
1/31/2023,17,Anders ANTONSEN,DEN,50553,10,91554
1/31/2023,18,NG Ka Long Angus,HKG,50347,15,45171
1/31/2023,19,SHI Yu Qi,CHN,48970,9,57945
1/31/2023,20,Rasmus GEMKE,DEN,48871,10,62855
1/31/2023,21,LEE Cheuk Yiu,HKG,48731,17,94780
1/31/2023,22,Kento MOMOTA,JPN,48444,12,89785
1/31/2023,23,LI Shi Feng,CHN,47543,16,95476
1/31/2023,24,WANG Tzu Wei,TPE,46946,14,87375
1/31/2023,25,Toma Junior POPOV,FRA,43913,16,61628
1/31/2023,26,Shesar Hiren RHUSTAVITO,INA,43583,16,81887
1/31/2023,27,WENG Hong Yang,CHN,43113,13,77042
1/31/2023,28,Brian YANG,CAN,42030,18,63122
1/31/2023,29,NG Tze Yong,MAS,41294,17,81362
1/31/2023,30,Kantaphon WANGCHAROEN,THA,40642,17,92508
1/31/2023,31,LIEW Daren,MAS,39239,15,52864
1/31/2023,32,Sitthikom THAMMASIN,THA,37986,16,58963
